"Item.Number","Item.Description"
68036,"Bailey's Original Irish Cream"
80826,"Ice 101, Peppermint Schnapps"
27554,"Seagrams Seven Crown Dark Honey"
88291,"Patron Tequila Silver Mini"
42566,"Gosling's Black Seal"
82612,"Dekuyper Hot Damn! Traveler"
34433,"Grey Goose Vodka"
24457,"Kessler Blend Whiskey"
52591,"E & J Vs Brandy Mini"
64776,"Cointreau Liqueur"
65256,"Jagermeister Liqueur"
37997,"Smirnoff Vodka 80 Prf"
4197,"Auchentoshan 12YR"
86112,"Dekuyper Triple Sec"
9428,"Passport Scotch"
43338,"Captain Morgan Spiced Rum"
45886,"Sailor Jerry Spiced Navy Rum"
34821,"Svedka Vodka"
89610,"Olmeca Altos Reposado"
43024,"Admiral Nelson Spiced Rum"
87596,"El Mayor Blanco"
58868,"Jose Cuervo Authentic Strawberry Margarita"
36968,"New Amsterdam Vodka"
71446,"After Shock Cinnamon Liqueur"
86251,"Juarez Triple Sec"
45277,"Paramount White Rum"
80576,"Arrow Peppermint Schnapps"
43386,"Castillo Silver Rum"
38177,"Titos Handmade Vodka"
15627,"Jameson"
68126,"Carolan's Irish Cream Liqueur"
17086,"Bulleit Bourbon"
35776,"Barton Vodka Mini"
43128,"Bacardi Superior Rum"
44499,"Cruzan Mango Rum"
73136,"Chila Coffee Liqueur"
494,"Grey Goose w/2 Martini Glasses"
44658,"Lady Bligh Spiced Rum"
12464,"Canadian Mist Whisky"
82610,"Dekuyper Hot Damn!"
68038,"Bailey's Original Irish Cream"
10627,"Canadian Club Whisky"
35948,"Fleischmann's Royal Vodka 80 Prf"
82956,"Firewater Cinnamon Schnapps"
81207,"Paramount Peppermint Schnapps"
36308,"Hawkeye Vodka"
80686,"Dekuyper Blustery Peppermint Burst Schnapps"
36901,"McCormick Vodka Mini"
56957,"Bartenders Hot Sex"
22158,"Wild Turkey 101"
20248,"Old Crow"
64571,"Ciroc Pineapple"
35917,"Five O'clock Vodka"
77858,"Smirnoff Whipped Cream"
86883,"Southern Comfort"
49189,"Remy Martin Vsop Cognac"
42009,"UV Cake Vodka"
10550,"Black Velvet Toasted Caramel"
34001,"Absolut Swedish Vodka 80 Prf Mini"
49186,"Remy Martin Vsop Cognac"
402,"Disaronno Amaretto Cavalli w/2 Glasses"
16562,"Angel's Envy Port Finished"
69637,"Dr. Mcgillicuddy's Cherry Schnapps"
46112,"Cedar Ridge Dark Rum"
89193,"Jose Cuervo Especial Reposado Tequila"
82147,"Arrow Raspberry Schnapps"
68017,"Bailey's Chocolate Cherry"
66936,"Grangala Triple Orange Liqueur"
67527,"Kahlua Coffee Liqueur"
42714,"Malibu Coconut Rum"
18096,"Evan Williams 1783"
37998,"Smirnoff Vodka 80 Prf"
10836,"Crown Royal Black"
42703,"Malibu Pineapple Rum"
81206,"Paramount Peppermint Schnapps"
43136,"Bacardi Limon"
13038,"Canadian Reserve Whisky"
87280,"Casamigos Blanco"
54446,"Paramount Apricot Flavored Brandy"
73055,"Rumchata"
40192,"New Amsterdam Pineapple"
10006,"Scoresby Rare Scotch"
10805,"Crown Royal Regal Apple"
82786,"Dekuyper Buttershots Schnapps"
28210,"Bombay Sapphire East"
15777,"Bushmills Irish Whiskey"
